route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
20,10522:12-7-127,STAN-S1-6_13587841,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:12-7-127,STAN-S1-6_13587842,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:12-7-127,STAN-S1-6_13587843,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:12-7-127,STAN-S1-6_13587844,"Art-sur-Meurthe",,1,2004,10522$STAN-87$69,,
20,10522:12-7-127,STAN-S1-6_13587845,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587826,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587827,"Art-sur-Meurthe",,1,2001,10522$STAN-87$69,,
1,10522:15-7-127,STAN-S1-6_43602304,"Essey Mouzimpré",,0,118,10522$STAN-62$1,,
20,10522:13-7-2,STAN-S1-6_23587828,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587829,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587830,"Art-sur-Meurthe",,1,2001,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587831,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587832,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587833,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587834,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587835,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587836,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587837,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
1,10522:2-7-8,STAN-S1-0_43602255,"Essey Mouzimpré",,0,103,10522$STAN-62$1,,
1,10522:15-7-127,STAN-S1-6_43602305,"Essey Mouzimpré",,0,107,10522$STAN-62$1,,
20,10522:13-7-2,STAN-S1-6_23587838,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587839,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587840,"Art-sur-Meurthe",,1,2004,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587841,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587842,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587843,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587844,"Art-sur-Meurthe",,1,2004,10522$STAN-87$69,,
20,10522:13-7-2,STAN-S1-6_23587845,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587826,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587827,"Art-sur-Meurthe",,1,2001,10522$STAN-87$69,,
1,10522:15-7-127,STAN-S1-6_43602306,"Essey Mouzimpré",,0,119,10522$STAN-62$1,,
20,10522:14-7-4,STAN-S1-6_33587828,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587829,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587830,"Art-sur-Meurthe",,1,2001,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587831,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587832,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587833,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587834,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587835,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587836,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587837,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
1,10522:15-7-127,STAN-S1-6_43602307,"Essey Mouzimpré",,0,108,10522$STAN-62$1,,
20,10522:14-7-4,STAN-S1-6_33587838,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587839,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587840,"Art-sur-Meurthe",,1,2004,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587841,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587842,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587843,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587844,"Art-sur-Meurthe",,1,2004,10522$STAN-87$69,,
20,10522:14-7-4,STAN-S1-6_33587845,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:15-7-127,STAN-S1-6_43587826,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:15-7-127,STAN-S1-6_43587827,"Art-sur-Meurthe",,1,2001,10522$STAN-87$69,,
1,10522:15-7-127,STAN-S1-6_43602308,"Essey Mouzimpré",,0,120,10522$STAN-62$1,,
20,10522:15-7-127,STAN-S1-6_43587828,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:15-7-127,STAN-S1-6_43587829,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:15-7-127,STAN-S1-6_43587830,"Art-sur-Meurthe",,1,2001,10522$STAN-87$69,,
20,10522:15-7-127,STAN-S1-6_43587831,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:15-7-127,STAN-S1-6_43587832,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
20,10522:15-7-127,STAN-S1-6_43587833,"Art-sur-Meurthe",,1,2002,10522$STAN-87$69,,
20,10522:15-7-127,STAN-S1-6_43587834,"Art-sur-Meurthe",,1,2003,10522$STAN-87$69,,
